"account","industry","score","tier","confidence","borderline","last_updated","ai_hiring_score","ai_hiring_conf","ai_hiring_src","ai_announce_score","ai_announce_conf","ai_announce_src","cloud_score","cloud_conf","cloud_src","global_score","global_conf","global_src","dc_score","dc_conf","dc_src"
"Uber","Technology","92","Tier 1","33","no","2026-09-07","92","0.3","","100","0.75","https://news.google.com/rss/articles/CBMi7wFBVV95cUxPUlpoZ2p2RU0wTnB4cnBVSEo2X1hMYUNHZl8xZGRKV3ltYmFiMmxPbnZNcDBiMi1xcnBuR1RWTWU4QmhhX3RoVWRZVTM4aWcxbTZkSC1NMDBQakFNcDVaOUpmbGhlYVFnVk54NDkzb2tDckR6SktxaDh6TWQtT2cxUUxSRVpEaXVrTy1BNWZMTUNjbVBOTHRJMHJmcnVlTnV3Xy1xME51OVZyalV0R2lndzVhT2c3M2w1YnF2VUU4VklLcVRhNEhvV2d5S3dLSmc0TnVWaGhsdHItLVpxTkhTZmhxTERQYTFEWWxrTVgtWQ?oc=5","98","0.3","","87","0.3","","67","0.3",""
"NVIDIA","Technology","92","Tier 1","33","no","2026-09-07","96","0.3","","100","0.75","https://news.google.com/rss/articles/CBMihAFBVV95cUxPYVlPMC1CNnpsZ1VBRTAzTlJZU2RzWk92WGRmSUhQY3dwa3d1a1YtMXNwRDJ2UURBRy1vZkh3NnVzbHkxdko0TEFONXR6UnVBeUE1enZaQXhwRlJyVEZ2eWZPelIxME4wM2Z6XzZBMTJYYzM2eWN1SDYxcF9BQ25jdEtBd1Y?oc=5","82","0.3","","86","0.3","","95","0.3",""
"AMD","Technology","90","Tier 1","33","no","2026-09-07","90","0.3","","100","0.75","https://news.google.com/rss/articles/CBMieEFVX3lxTE54V0FuTDNiLThmLU5EYTBjd09MSVEtb012Tk0xeGJFT1lRangtWEJLWlNQRExPQmxvdkZ6OGdpQ29GT0tMNVR4RHNUdDdWMHFZNzJ2TlhIb0dtcFB2Q2Mtd3lDejNiVi1WUF93eHNVRE1KajkzV3ZNLQ?oc=5","76","0.3","","94","0.3","","84","0.3",""
"Broadcom","Technology","90","Tier 1","33","no","2026-09-07","90","0.3","","100","0.75","https://news.google.com/rss/articles/CBMikgFBVV95cUxNZzRwdzhpTlB6UDNXTzk2LWptZ196bk1xaGZzVFJjd2kwcFFQVVBKS3ROTW1oeFB6eTloN0F2djdSRThuakxUaExpOXotZ1pjN09YSEtKRGJjOFlzN25qTWY2NXJ5UlNuOEdmOF9WZF9abDJKeFdEd3NCV3JyVTdsRlVVRW9xX3g1eWtyTnRZNjQ4UQ?oc=5","76","0.3","","94","0.3","","84","0.3",""
"Qualcomm","Technology","90","Tier 1","33","no","2026-09-07","90","0.3","","100","0.75","https://news.google.com/rss/articles/CBMitwFBVV95cUxOTnlBVG9kM1c4WkRjMjJKVmFTa1NNQThFeFIxZVZ3ZGtPaEZNc2poS1BEdThVSjR5bUhrU1hVNk5Ud2JkczBUMGVrMDV4d05QbGxPR21TX1pLaU01bjA5d1g0TTN1bEc1WWNoUG8wb3Q1TVJyTDNocmNTeGlyTTlKSVZ0VkNtOFNxek9qNVVoZDdNdWo1NzU4YVBXbi1YTnpXYjBscy0taUVmT19UUFR0R25xX25Wb2c?oc=5","76","0.3","","94","0.3","","84","0.3",""
"Dell Technologies","Technology","90","Tier 1","33","no","2026-09-07","90","0.3","","100","0.75","https://news.google.com/rss/articles/CBMipgFBVV95cUxPa0JqWUI4YzlyWmlqeW5hclhaRllVUjEwUjVTUTNrMWx5SkQ4V2RncXI2WFVHNGlWM05QaDU5ckZFUHh4NF9rb1BQclVsOTd5eVcyTTc4NjJSX2J3TnZCWXphS3ktcnN6WVU5VFhvWTQ5eVdDMktTZWU2OFhiYWhlMTFzT3pxcHQyTS1SUm1mOWF1WUZDQTd0bnUyZUJ3djZrRVVjUktn?oc=5","76","0.3","","94","0.3","","84","0.3",""
"Hewlett Packard Enterprise","Technology","90","Tier 1","33","no","2026-09-07","90","0.3","","100","0.75","https://news.google.com/rss/articles/CBMiuAFBVV95cUxQVnEyWW9GU2ZHLW5iNlQ0Vk1tTHl3SWFxTFlrWTZJRGxZanhiQmhaWWJaMDFVeEZBeVBDT2x0UG13UnFKRjhmbC1VZUgtTlQzc1RpUUM2YVJuWi1admw1R0l3a3MxRjZOY3BfbDdRQ0sxMm9QMzFCUVhkVWZvU1R4UDU5T0ZkN1hoN0dNRWlDQzNrOU0tRmF5Y3dINTZ3Y0RwNlUzLXBFQ1l3ZEc5ME5HU2d0UjBXOEk1?oc=5","76","0.3","","94","0.3","","84","0.3",""
"Marvell","Technology","90","Tier 1","33","no","2026-09-07","90","0.3","","100","0.75","https://news.google.com/rss/articles/CBMilwFBVV95cUxQSmRDMGo3UXA4SG1Yb3k5Y2NiY3l4MW5KN3k0OURSd0ptYjQydy1wRERYekIydUdiX01UVFpadXpScXFZUWRFNmNidDVOb0JZbVJmVlhQakFvY1JHRkR2aWtvcG1yeEFoSUUtYkFicVBsOEMyclBmU0c3NGl1Vi1xSlBsU1RNdWdxaldVemZ6MTM5b29WZ3RN?oc=5","76","0.3","","94","0.3","","84","0.3",""
"Visa","Financial Services","90","Tier 1","33","no","2026-09-07","92","0.3","","100","0.75","https://news.google.com/rss/articles/CBMi0gFBVV95cUxPZnk2bmpzMHQwQWRWRVQySjRoS3VVWE5UazRmRTEtYUZKU2haU29WanBveFViQTNLMHJGVTZqOXJVMXJubFFUSjJOb29qSUt4ZllVcTZfcFB3YXVxR0hMSGtCbjNrbTVSaUN4Q2ZVOFU3ck1VanozSjJUTERJT2lsM2RQd25fcnpXRkhTWk9lQW5zMUhSNkg2VGRTTm12OUtLM3BjRzl2dVJCQXFQTmFxS1hwUXlEY3ZCdDNXQnhLWXJneHhnMHVvYUNzTENDZlo5RmfSAdIBQVVfeXFMT2Z5Nm5qczB0MEFkVkVUMko0aEt1VVhOVGs0ZkUxLWFGSlNoWlNvVmpwb3hVYkEzSzByRlU2ajlyVTFybmxRVEoyTm9vaklLeGZZVXE2X3BQd2F1cUdITEhrQm4za201UmlDeENmVThVN3JNVWp6M0oyVExESU9pbDNkUHduX3J6V0ZIU1pPZUFuczFIUjZINlRkU05tdjlLSzNwY0c5dnVSQkFxUE5hcUtYcFF5RGN2QnQzV0J4S1lyZ3h4ZzB1b2FDc0xDQ2ZaOUZn?oc=5","92","0.3","","92","0.3","","56","0.3",""
"Mastercard","Financial Services","90","Tier 1","33","no","2026-09-07","92","0.3","","100","0.75","https://news.google.com/rss/articles/CBMiqAFBVV95cUxQRVVNdTBUdnhDbEFnNVFYX2NBcGdnSE5vNXFOcGNvUTZiQzgtcWpLU1BwMTA3dUFGOVp0TXdwbDlYOUJ4cVVKY3ZpTFJCY2tGUkVadnNfU1lSZVZLT0pQSWdBNk90bm5OUnNfam5va3dDVzV5WWZ6UTBLSDBLLUdJbHk5dzNtbFNKcWhackxFRXBoMjhBc0h6c1pwcFVjYkZuRjZMM3EtVHU?oc=5","92","0.3","","92","0.3","","56","0.3",""
"ServiceNow","Technology","89","Tier 1","33","no","2026-09-07","92","0.3","","100","0.75","https://news.google.com/rss/articles/CBMilgFBVV95cUxOYnVXR3hMQnJXWFprYmhQQnRYbjQxdENxVkdyS3k4cGZHOE9IVHNDOHYyODYxbThiUHZVN25PYUQxMDBnZ3ZNUklFdS0tSzUzSjVHTzRneGk0WGtkZmkzUk1oejBxTG1zRkNEZWJwaWdpZnpsSEozTXZEMUdscmlHb21SZWE3Zk5INVZyOUtNbS02bi1ZSlE?oc=5","98","0.3","","75","0.3","","67","0.3",""
"Snowflake","Technology","89","Tier 1","33","no","2026-09-07","92","0.3","","100","0.75","https://news.google.com/rss/articles/CBMingFBVV95cUxPVHZ3QWFRZmhaaHUtWjBGQU8tVFJNX2c4VEwxSHp5MUI4R1hqMWQzekpwUDlpbTdxSGFpUGFFQ1lmVEJmczlQMHB6OTBkMnp3elNyZWlnQk9iRkRJTG9WN3V1TTR1RWhvQkZCdldqYlBjU1RoMkhZSHRNYzNTazlhMW5mdFJIVnFVb1JXVVA3U0FMbm9VVGZXallNVnF0QQ?oc=5","98","0.3","","75","0.3","","67","0.3",""
"Atlassian","Technology","89","Tier 1","33","no","2026-09-07","86","0.3","","100","0.75","https://news.google.com/rss/articles/CBMifEFVX3lxTE5mZ1g0VkpranZ3OGEwVU5wa0ZhOGNRWk9YOGNzdWFiYW5aQkdSZTVhX2lQTWtQOTJnZVV6dXRBbldwN3ZpMjZCZVFrZjQ0NkRCa1VieDVVZkcxRUdKdk1oZkpHWl9pMktsMEdVckUzWUNuTjROeDRqMmdaTUo?oc=5","94","0.3","","87","0.3","","59","0.3",""
"Shopify","Technology","89","Tier 1","33","no","2026-09-07","86","0.3","","100","0.75","https://news.google.com/rss/articles/CBMif0FVX3lxTE5sZWVOM2lQZ2I3dlpKXzcyX0EtVWtvV0g5SUVXQXVKeU9nemNhUEhTMF9uc0EtT2ZzR25hMlRDZU1vRzh0QzhFeG01U2RfaHdsQ3V4anZwWjY4ckVIcmoxOXRTdWlGZUpwekJkMUJnNnFpLWdXM1JaVGNMdXA2Tms?oc=5","94","0.3","","87","0.3","","59","0.3",""
"Accenture","Professional Services","88","Tier 1","33","no","2026-09-07","88","0.3","","100","0.75","https://news.google.com/rss/articles/CBMixwFBVV95cUxQZG5uUmNYY2VuVHVDaS1YUHB6SkJTbkdtZFhVZ2p5WW1IRU0xR2E2OXhQT2N1OFpSb1dWSEpjbWN5dFlmUjgwTEsyelF4aExhdzFIbjB5ZXpSZVJva29PUVVCWjlfRFA5THpLUVdKVndoUFdYczRhWnpYcmtReW9BYzl1OWNlY2tMbDBPWkgtUFg4NUJITTluNklrU3M5S21ERm85TkdYdUczTTZaT0JVRGZnSDRkc0FITXBZUHFKSFVpcV9oYkJV?oc=5","88","0.3","","94","0.3","","50","0.3",""
"S&P Global","Professional Services","88","Tier 1","32","no","2026-09-07","88","0.3","","100","0.75","https://news.google.com/rss/articles/CBMi0AFBVV95cUxNVlhyd05mZ1F0NDVkNjM5b3FqQ0ltN3JKUkxIQWNaUFpPZDV1Zi1LUmdmbWwtLUhCNElneU1hZXpGVFkya1lnOGQtdXZuRXlhbWRtejhYYnpYRHNVWVFRWkNXWEpVSmpiQ1N3V3ZRWExOWnR0WFk5aEFRTlAtcEw2SEdTd0FUaXl2MDh3UDFlS081cklrZDFjS0p4RmNsanRiRE10RWY0LUNSLTJ2cmxHRll1WHJmTU1XZXduWW1rakl3TXk0LW03Y3RUNWk2TXBv?oc=5","88","0.3","","94","0.3","","50","0.3",""
"Intel","Technology","87","Tier 1","33","no","2026-09-07","84","0.3","","100","0.75","https://news.google.com/rss/articles/CBMioAFBVV95cUxNRlF0ZkYydXo4ekR5UnBIM3VkR2RFcF9aOVFkTXZGUG91ZWpjM3N5bGZSMndnQkJFY0NTYWh1WmlrdTZRbXZtNXdKeVR5WEtERG54VTU5NWJoY0tIaFItT3gyeVBUYUR2bm1pX0RRR2MwNnVuWV91THgxZnNtM2dLY2VzWFN2dHNtUDVLNjZsN0J0ejZRTkp6V3pQQ1RyelJV?oc=5","72","0.3","","94","0.3","","76","0.3",""
"Micron","Technology","87","Tier 1","33","no","2026-09-07","84","0.3","","100","0.75","https://news.google.com/rss/articles/CBMixgFBVV95cUxORmRMZGlCdVBRbTJfSUc0dUlXLTM4WlNlTll3NmNVSVA0Ylo1b1FKVWItRjYzYWVZVTFPMnpHSm44YVdGdVpwNVlBMHR1ZmUyLUplQnpnVHh4UUJDdU5LLWtRanZyVkZrSHlUSDlmYU10aE8zQk5uMDYxMkpqSGlnR3ZMOGtzSXdiY3IzWnI0eUVONjFYSHJVQnpmbWV2UnVpZVYySFVRQzZPb3FRblN0UlY5Z0xqVFBpTkZUOGJ1WHN2Rjg1N0E?oc=5","72","0.3","","94","0.3","","76","0.3",""
"Applied Materials","Technology","87","Tier 1","33","no","2026-09-07","84","0.3","","100","0.75","https://news.google.com/rss/articles/CBMi3wFBVV95cUxNSlRzUmlHUy1sVXIxT0hpTm4wc2RoaGRySFBtOFlPZ3N0SS1aeEhpRXV1QXE3NHBTRmNZalhyNnp4OUJEZ09oZjFkdE9tYWx0RmR0dEJaczB1SmY5VkgwV2pubkxaTjZCUVlCMlA4UkM4RXVxQkFwVHdKRGdfVmxyeUtqVkRCWWVLdlhGUDc4bFpyMUVNaVNlbTF6amwza1MyLW1KaUhGU01wT0RUX3RORU5QV0hBUVJEV3NHMW1UcDNfbHlKYXFrd3RWWFh5aXBNcm5MN256eDJiT3lOY09n0gHfAUFVX3lxTE1KVHNSaUdTLWxVcjFPSGlObjBzZGhoZHJIUG04WU9nc3RJLVp4SGlFdXVBcTc0cFNGY1lqWHI2eng5QkRnT2hmMWR0T21hbHRGZHR0QlpzMHVKZjlWSDBXam5uTFpONkJRWUIyUDhSQzhFdXFCQXBUd0pEZ19WbHJ5S2pWREJZZUt2WEZQNzhsWnIxRU1pU2VtMXpqbDNrUzItbUppSEZTTXBPRFRfdE5FTlBXSEFRUkRXc0cxbVRwM19seUphcWt3dFZYWHlpcE1ybkw3bnp4MmJPeU5jT2c?oc=5","72","0.3","","94","0.3","","76","0.3",""
"Eli Lilly","Healthcare","87","Tier 1","32","no","2026-09-07","84","0.3","","100","0.75","https://news.google.com/rss/articles/CBMisgFBVV95cUxPUU9NQkplVHNoX0lkZ0hVZHFvUEhLazVwUkpIb3kydkpIREZVT1J3Vll4YlY2UHB3ZmZpLTNEdjBjMmgxdldpM2N0OWlpQnc2cU94cGlXYmV2dVJSSTR5U2ktY0xta0o0MXd3Xy01allrYTVLUUl2ZFlER3Y3bDl0NzlJUHFHMGZNejczRWk5ZXZOWm40YTFPY0NEV05iOV9ZMnI4VExEU0ZNTHpKRVVVSVZB?oc=5","82","0.3","","94","0.3","","58","0.3",""
"Tesla","Manufacturing & Industrial","87","Tier 1","33","no","2026-09-07","92","0.3","","100","0.75","https://news.google.com/rss/articles/CBMinwFBVV95cUxNZ00tYzlfZS1HQ1Nxbm94XzlzVXhVX3NNWGFSOXNuYmNwUGROUUNTUk1mdlBxV3YyVFpRUGU2LVhnRGlUU3JDZmJSQzl3bXBYRzZLLW82NnE4RDZSdnFFODRrWEUzem50Q29jYml6cnd6TnVocTFjb2pxR1A2dXdzR0dtSmZEZkhDUGpnMThtNHctZ2duVWFCbWZBSEsxdE0?oc=5","72","0.3","","80","0.3","","88","0.3",""
"Workday","Technology","86","Tier 1","33","no","2026-09-07","86","0.3","","100","0.75","https://news.google.com/rss/articles/CBMilgFBVV95cUxQQkp4aGtrazBLMjFlY1hmZ1BGNFJ6N19YbDlIOFI5U0RuTXlHdVNQMlNacEV6aVNkdWJIQi16dnhGNUZGeHB3ekVnczFsVExoUzVKclcyUnNfWVBpb29WaF8zalp5ZGkzTXZDbHBxZERUbkFIUUVrM3g5XzJxNnYyT3QxNDFyZllpMXA1dnh4VGdYWVJYV1E?oc=5","94","0.3","","75","0.3","","59","0.3",""
"Datadog","Technology","86","Tier 1","33","no","2026-09-07","86","0.3","","100","0.75","https://news.google.com/rss/articles/CBMi1AFBVV95cUxOdWNMQjEtaXU0MW44bjl0YXd0VXJKTjA1Nk1MZGxmTDRZVUVtRDFzZFRJdEItbjFHRjZYQnZXMHg0US14WFkxOWZGRmRmTElfY0ZTY1N0RUN4bU9KcmhnQjBjaTdUVWhZWE9nM1hHeXBmeWlJZkJ0M19ZcEtFeU4yMkdQQUpWVXZWRlozc2RaZGM3Rk03Q1VHRDV2NVlqVEdtSE5tNVFOdktiVXVsVWlqQVpoU3Y4bFFIS3d6WW90ZE1FbkhHSjM3b0dOUlVIa2l1QlMxVw?oc=5","94","0.3","","75","0.3","","59","0.3",""
"Intuit","Technology","86","Tier 1","33","no","2026-09-07","86","0.3","","100","0.75","https://news.google.com/rss/articles/CBMimgFBVV95cUxPM29OOC1qYmZTc1ZRT0ZtVWRTdGcyMy0teUdPeE1lVWlYaHNDNGY3VVBkMTdjYzhEeGJqWWlOZHhUbVE2aGlPSnVOX09JaTY5WFFqUktTWElnOXlsc2xSWUJtSG9GM1VveWpKRWVrNHUzbk5XNzBITERTYmFyeFpibFlwcDRGa0Vid05ENktnUll2NTY3TXlxanRR?oc=5","94","0.3","","75","0.3","","59","0.3",""
"PayPal","Financial Services","86","Tier 1","33","no","2026-09-07","86","0.3","","93","0.75","https://news.google.com/rss/articles/CBMihgFBVV95cUxNTDhqdExIWEt0T1g1VzUxQXFKc3dHRW5HNjMxV2lUeUpfUjJCdWJkbHRtb0pQSlFXZWc2ZzByZDBIcTQ2eFE2RlBubmYwZVEtbVNiNHRjZ1dvMWlEWC1nRkU4Vm43TXV1dUdMSS12ZldtM0FJOVY4azdINXJlQ0JqREVfeHA4QQ?oc=5","88","0.3","","92","0.3","","48","0.3",""
"Netflix","Media & Entertainment","86","Tier 1","33","no","2026-09-07","86","0.3","","97","0.75","https://news.google.com/rss/articles/CBMi9gFBVV95cUxPUmMzd09QeVoxZDRWQVlyNGNBWGtFaVkzdDlCSFpIMlZZQXZGalc5YWVuTVBKUWFkb0cyTVZBX0tDVlVlU1BsUXh2c1lEMFhOSzY5VVN0MGNtVk4yb1FFS2VhVWJvZ3c5R0FldXMxcTFncTJkZzJDSXhEQ1o3U1ZoOWhPZkhtOG9vWlo4Q0ZiY0IwdHR2MmwyTFNZQ0FnT05QV1hwNkhicmt5U0ZSZDloam91WjRnRjk2MHNPcGdxQVNLQzdhczh3WUkxQUt3Rlp4dThmR0lHR2ZRNnQ3ZWFlb1pSNy1aZUtfYVJkS3pGbmlTRWpDa2c?oc=5","90","0.3","","84","0.3","","52","0.3",""
"Spotify","Media & Entertainment","86","Tier 1","33","no","2026-09-07","86","0.3","","97","0.75","https://news.google.com/rss/articles/CBMifkFVX3lxTE5TeG5FYXJvY21GdWU2ZlpCRHJ4YnRxR3NZMGFSd2NuMXBmOFBsUVJhaGhneUcwU2wwNHkwX0U0MGlSSHFRUWN3TlBGRk5Rb2tFY3VjU3VlUlBxd3BMVjVlN19SNjNtVzYyaS1ES2hUSWJEX3ZjeUx2LUJMSjRyZw?oc=5","90","0.3","","84","0.3","","52","0.3",""
"JPMorgan Chase","Financial Services","85","Tier 1","33","no","2026-09-07","88","0.3","","99","0.75","https://news.google.com/rss/articles/CBMiwgFBVV95cUxPVWZjQm5oajgwTUFLVGpNWURWYm1CWGVyVWNMU09sSi1QRVRFZjNueEtOdkdiYnBPUmhnb1A4M2xsLUhadVZqQnNOWTN3TmJlcUZzOG9GZGNpZklFV0syWWQtYTRtbGtUWTlHVmlrVEVYMWc1ZDl4NzlNWEE2MGxZYThMeVV5WDdqZ1ZUbFlXMFFDWVVaNjhSU2ZneWJ3NS1FdUtKMmZ6R1B4b3dWcWFjRENjX2s5aU9sZFFIdUs0TFk3Zw?oc=5","82","0.3","","84","0.3","","54","0.3",""
"Bank of America","Financial Services","85","Tier 1","33","no","2026-09-07","88","0.3","","99","0.75","https://news.google.com/rss/articles/CBMiiAFBVV95cUxPVjBNbFhlejl1bUJ5RGVRLVhvNlVMSktaU1ZRSXlxYnQ4MDdUeEs1TWJhT25BV0FVRzRtUnZpQUNSdTRPUnRvMzRSSFFtUDI3VTZRclo1R09tMTZqR2hEd2tMblZ1ZnBvTXBfVUpHMmI3bVMwLUdzeGlBSENoeXlTc2xDOWMteUFH?oc=5","82","0.3","","84","0.3","","54","0.3",""
"Goldman Sachs","Financial Services","85","Tier 1","33","no","2026-09-07","88","0.3","","99","0.75","https://news.google.com/rss/articles/CBMisgFBVV95cUxOdVNnbUo5V0RuUE1OSFNVUHpJVTIxajlkTmZIbzlQNmZZRHNDSHNaazhlMXRkZ0hIbHd5dVJmTmlVYnRlMEFrMTUyS2gyLWtndDhPZS1QelJaYm5VS1VTM3lCYkZIWHM4YVhJRkZmMW16cjJoZGFPREstTjNUakh6UFFDTFZOaG5MVU0wbF9iVmpNSFM4RFp4V2NIVWI1c2JlSlU1eE9TZk1vVVRvX2ZYZkVB?oc=5","82","0.3","","84","0.3","","54","0.3",""
"Morgan Stanley","Financial Services","85","Tier 1","33","no","2026-09-07","88","0.3","","99","0.75","https://news.google.com/rss/articles/CBMitgFBVV95cUxQVExYVTZnNl9XVndiM0s0SXZxVDZTLTFQcTNFR0pkU2lORFN3cXRjakhiYTZHX3BfdDVHS2MwR0tkZ3hQSElIS3gzMmlzdmxxWmN5dFZuNW1xdmdJQng0Mk5yblVzYTQ2MjdLcGNOcHlwekZNR2Jadkk1bHpXNWtheXl3RWZqWnR4ZktEVFRWVVlTMVlOY0kxN2NXUGRiNmlZUXg4MmdIa29rSDUzNEN2ZTdiY3FoUQ?oc=5","82","0.3","","84","0.3","","54","0.3",""
"Moderna","Healthcare","85","Tier 1","33","no","2026-09-07","84","0.3","","100","0.75","https://news.google.com/rss/articles/CBMinwFBVV95cUxNYUlqRDVxWHkyWEZKaU44emI1cVlaRlBLeEE4THdScEpIdDN4aHdoeEtxd1hxSVlKLWxmTV9aR2RaREhGWjd6ZUh0MVFlY3BCTVdEekp4V0JZb25KdS1mQVlYU0w4NlJVMUFoNXZGUmxSU2VNX1Z0eEQ4MXdmX2VTQkxHZzdOVTJMbTF6a1FGQjF3UF9hSE1ydkcyaHFZRFU?oc=5","82","0.3","","82","0.3","","58","0.3",""
